ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
9.39,6.29,8.55,6.47,16.51,15.76,11.20,17.57
8.24,2.67,5.67,5.32,17.44,11.11,10.81,10.98
7.71,6.52,2.27,10.45,11.91,5.67,9.17,5.72
8.42,8.46,11.11,6.65,11.47,4.92,8.28,5.50
5.14,9.74,3.68,15.94,19.47,11.69,14.17,11.96
5.59,10.32,5.01,7.36,30.66,21.11,15.05,22.39
11.38,11.47,4.17,15.01,38.45,23.94,8.73,46.06
15.67,12.66,17.22,30.44,41.23,28.54,21.11,48.62
14.43,10.5,5.19,7.53,32.88,23.01,18.37,33.54
8.77,7.62,9.83,20.76,34.11,32.08,13.55,14.43
3.33,5.76,3.73,6.12,24.52,28.94,14.34,5.23
5.72,2.31,8.95,11.65,25.36,31.33,13.15,8.28
7.67,1.52,4.22,4.08,20.76,24.29,13.24,12.71
10.14,3.82,20.49,13.55,18.01,18.41,12.31,15.80
10.85,4.61,4.57,5.76,18.81,14.70,8.59,15.10
8.73,4.13,18.68,8.42,20.09,12.44,5.72,9.08
4.88,3.02,9.04,10.58,26.29,15.80,19.52,7.53
4.35,8.9,18.06,11.03,39.60,23.41,26.51,19.61
3.77,9.96,7.67,3.6,40.75,26.77,20.40,20.40
5.94,4.97,8.2,3.24,37.61,24.83,20.80,15.32
10.98,7.05,13.81,6.34,21.69,17.13,16.82,10.98
6.91,13.02,14.74,7.22,10.50,9.39,12.93,4.57
5.85,13.33,24.12,10.32,4.61,6.43,12.35,5.72
11.11,7.71,5.5,5.5,2.05,5.14,7.44,10.32
13.95,4.79,15.41,5.67,3.15,5.54,5.23,10.94
11.65,4.04,8.73,4.48,3.51,6.03,7.71,9.39
9.35,2.84,14.74,7.49,6.82,9.52,10.27,8.02
5.19,2.27,3.02,3.37,8.42,9.30,14.34,9.12
2.76,3.37,6.6,2.89,13.95,11.16,12.80,7.97
4.22,3.99,4.57,3.46,12.57,8.06,7.27,5.54
7.71,3.2,12.26,6.6,15.71,8.11,4.17,3.55
14.74,3.11,12.8,10.54,14.21,8.59,4.79,6.96
31.42,13.24,37.92,29.03,24.03,16.11,12.44,12.09
39.82,19.25,16.02,7.18,30.40,22.13,31.99,30.66
37.34,21.91,41.68,35.48,33.98,22.79,36.41,35.44
22.48,20.8,20.89,22.44,37.52,21.29,27.88,30.00
13.5,19.78,13.11,11.6,30.44,23.01,14.70,28.14
17.26,25.89,10.14,9.17,31.99,29.20,19.21,32.83
27.3,36.99,23.72,19.65,19.61,33.05,36.55,43.80
32.92,36.19,50.35,13.02,19.21,28.85,31.37,36.77
24.25,21.91,16.11,13.11,30.35,36.50,16.29,21.33
12.71,10.27,12.49,6.82,41.06,35.48,4.70,11.47
5.23,4.88,6.43,4.35,58.17,49.81,9.17,4.26
7.31,8.42,6.03,9.3,57.07,42.52,16.51,5.06
16.47,20.49,23.9,12.8,59.99,51.50,16.16,29.16
21.38,25.0,25.84,25.14,63.44,51.05,17.26,51.94
14.96,19.34,11.16,6.69,61.05,49.95,24.65,46.19
10.89,12.13,12.4,9.57,53.09,40.88,24.29,29.60
14.48,10.72,7.49,8.2,34.73,23.15,19.39,17.53
6.03,8.42,10.58,17.57,15.98,16.86,21.77,15.36
19.25,26.55,6.6,17.66,12.71,16.78,26.59,12.62
33.45,29.03,17.97,37.12,19.30,25.05,33.89,15.45
27.57,10.85,8.95,7.4,20.71,28.50,36.59,19.96
11.87,11.25,10.27,15.71,19.56,26.64,19.08,19.78
4.57,13.5,4.08,14.79,11.96,19.74,9.39,10.41
3.95,11.78,14.12,10.19,13.15,13.46,11.96,6.82
3.11,14.61,5.54,9.26,15.58,8.95,8.37,8.46
6.56,14.74,8.77,5.01,14.56,10.19,9.92,13.11
8.24,11.6,9.04,6.03,11.87,10.41,10.41,17.75
7.71,10.05,4.75,3.46,16.16,18.10,11.07,13.90
7.49,7.09,8.2,15.14,22.84,19.96,10.10,10.94
5.19,5.5,6.87,7.05,29.82,26.55,8.99,13.68
3.95,5.9,8.77,10.41,31.19,27.61,12.97,18.28
6.29,8.51,9.04,6.25,26.55,26.15,18.63,23.54
8.9,19.25,4.7,6.87,21.07,20.49,17.48,25.75
25.75,33.23,6.07,5.81,13.02,11.56,18.32,24.07
32.52,32.21,11.47,12.09,12.26,9.17,32.57,31.81
19.74,22.08,37.61,26.82,11.47,9.92,44.24,41.41
13.77,21.51,29.29,17.35,8.73,12.26,39.33,36.77
15.58,20.14,18.68,10.36,7.58,12.49,22.79,23.45
6.82,15.63,20.89,11.2,8.20,10.27,16.20,17.35
3.46,12.57,20.54,12.13,8.28,7.44,15.63,11.38
4.83,12.26,20.4,7.36,7.49,4.44,17.93,9.52
6.82,10.19,11.51,9.04,5.10,5.28,15.01,10.27
