ALPHA L,ALPHA R,BETA L,BETA R,DELTA L,DELTA R,THETA L,THETA R
3.68,5.5,11.42,9.26,10.58,16.07,3.20,3.02
4.83,6.12,8.28,10.89,12.84,10.67,4.79,9.83
3.77,6.56,3.42,5.14,17.57,8.37,3.86,10.72
5.45,11.16,3.07,14.52,21.42,7.75,2.53,5.19
6.29,12.09,6.74,12.31,17.70,15.41,6.03,2.36
4.97,10.14,10.19,13.02,15.23,16.25,8.06,2.89
3.15,12.75,3.6,30.0,15.94,20.49,13.41,6.16
4.7,10.23,8.81,5.98,14.92,13.33,11.82,8.68
9.21,6.34,11.11,15.23,14.79,11.25,5.50,17.13
12.4,9.04,2.0,4.22,12.71,13.02,15.63,25.53
10.14,11.47,1.87,5.23,20.23,23.81,27.83,25.84
5.98,7.44,3.95,7.75,23.23,27.83,24.12,14.34
3.2,3.6,5.41,8.86,29.69,31.68,10.01,3.60
3.68,5.67,3.33,6.03,23.28,23.23,3.46,3.29
4.39,7.09,4.52,5.45,23.37,22.04,6.03,4.88
6.78,10.94,3.99,3.73,15.80,17.97,10.76,5.41
6.43,10.94,8.11,8.77,14.48,18.32,9.39,6.65
14.12,13.06,3.6,9.83,14.26,19.87,13.50,14.87
21.11,9.26,9.43,25.44,14.74,18.10,35.79,35.75
17.93,3.68,28.14,22.3,25.27,24.25,56.27,56.89
13.46,2.89,6.78,24.6,32.17,31.68,46.63,51.50
6.91,15.36,2.93,9.08,39.38,36.63,17.88,30.97
4.39,18.06,13.41,16.69,41.85,43.14,7.31,14.30
3.73,10.81,13.06,8.64,35.84,37.78,8.86,10.14
4.75,4.57,8.68,5.85,38.32,40.08,6.21,7.18
1.74,2.36,7.27,6.03,27.26,31.64,6.74,4.22
6.29,4.08,6.25,7.97,27.21,27.13,9.17,2.89
12.04,9.66,11.47,4.35,17.04,22.04,6.69,5.50
12.0,11.03,7.0,7.27,17.93,14.79,4.70,7.62
6.43,5.67,10.01,3.15,16.07,10.50,7.89,6.69
5.76,2.27,14.56,6.16,15.71,4.48,8.28,4.04
6.6,5.28,10.32,8.51,14.08,3.11,7.84,5.94
4.44,12.93,15.05,10.27,16.82,2.62,8.20,12.71
2.53,18.99,6.69,18.19,15.49,6.16,14.12,18.19
2.62,14.83,19.65,14.52,13.72,10.05,13.37,19.21
8.33,6.43,23.81,23.32,9.92,20.85,12.04,15.32
16.02,17.62,10.14,8.68,9.83,23.06,29.60,25.53
16.29,26.24,33.1,26.02,19.56,34.47,45.44,38.58
10.1,22.7,17.44,14.87,24.91,33.63,46.32,42.38
10.1,14.12,15.89,6.82,40.04,41.99,28.50,25.80
10.27,8.86,3.95,5.63,40.57,36.94,7.13,7.36
8.02,7.44,6.65,7.93,35.44,30.66,12.09,10.94
8.46,6.21,8.55,8.64,20.31,19.43,10.98,6.43
4.75,1.96,5.94,2.67,10.14,10.14,14.87,8.42
6.29,5.14,20.4,23.28,7.75,7.93,24.25,14.26
4.79,8.15,5.01,3.68,8.33,8.11,26.86,14.79
9.21,13.95,8.28,13.06,8.59,8.51,24.52,18.72
18.1,19.61,8.73,13.55,10.54,12.31,25.53,25.18
19.21,21.2,7.49,20.71,16.55,13.46,26.64,25.36
12.44,12.97,12.13,7.53,22.53,21.02,22.35,18.77
8.64,10.63,4.97,9.52,22.30,17.75,11.96,8.37
12.31,18.59,19.47,15.01,20.62,17.04,12.49,9.92
15.54,23.72,10.67,9.57,12.35,12.00,25.31,20.40
6.96,14.08,16.29,17.48,11.07,11.73,31.99,22.26
10.23,12.04,17.84,17.62,6.47,13.24,25.44,14.26
20.14,23.54,7.0,6.74,4.57,13.02,12.04,6.52
18.5,19.7,21.2,17.4,2.93,14.12,6.25,7.05
8.42,6.87,6.34,8.81,3.73,12.88,6.12,4.61
7.31,5.94,13.15,12.44,8.24,12.04,14.08,14.96
9.3,6.78,4.44,14.39,10.19,9.79,18.19,21.95
4.52,2.8,12.04,9.39,11.65,6.82,15.36,18.81
3.15,7.09,5.32,11.2,10.32,3.37,10.36,14.34
5.63,9.43,6.56,8.59,8.99,3.37,5.81,8.68
4.61,10.85,19.65,22.0,8.77,3.24,5.19,6.25
5.37,8.11,5.32,5.14,9.52,4.52,7.93,6.91
11.65,7.8,12.22,10.19,9.08,5.37,18.85,13.06
15.18,10.05,2.49,2.22,9.48,7.67,22.84,16.73
16.07,12.13,4.88,4.97,7.27,7.62,16.51,14.48
13.02,11.42,4.52,4.66,11.51,8.46,12.84,10.98
8.02,9.88,7.09,6.07,13.64,7.13,12.49,8.99
2.84,6.69,8.68,11.47,16.02,6.87,9.70,11.56
9.61,9.92,14.7,12.97,14.61,5.76,6.43,12.31
15.01,15.67,8.55,9.52,12.97,5.41,8.81,10.36
15.23,15.45,16.6,12.97,10.01,6.16,10.76,8.51
